State,State_Name,Index
AL,Alabama,89.5
AK,Alaska,135.1
AZ,Arizona,102.2
AR,Arkansas,84.3
CA,California,150.6
CO,Colorado,111.5
CT,Connecticut,125.7
DE,Delaware,110.5
FL,Florida,98.7
GA,Georgia,91.9
HI,Hawaii,185.2
ID,Idaho,98.1
IL,Illinois,95.6
IN,Indiana,86.4
IA,Iowa,89.3
KS,Kansas,88.8
KY,Kentucky,87.6
LA,Louisiana,93.8
ME,Maine,104.2
MD,Maryland,116.1
MA,Massachusetts,137.4
MI,Michigan,88.8
MN,Minnesota,103.2
MS,Mississippi,89.1
MO,Missouri,91.1
MT,Montana,106.9
NE,Nebraska,88.5
NV,Nevada,102.2
NH,New Hampshire,116.6
NJ,New Jersey,126.7
NM,New Mexico,100.8
NY,New York,121.8
NC,North Carolina,95.4
ND,North Dakota,105.3
OH,Ohio,88.2
OK,Oklahoma,84.2
OR,Oregon,115.5
PA,Pennsylvania,96.7
RI,Rhode Island,120.6
SC,South Carolina,92.7
SD,South Dakota,97.6
TN,Tennessee,86.5
TX,Texas,90.3
UT,Utah,106
VT,Vermont,115.9
VA,Virginia,108.3
WA,Washington,117.3
WV,West Virginia,86.1
WI,Wisconsin,98
WY,Wyoming,104.1