Job,2015,2014,2013,2012,2011,Industry
"Management, professional, and related occupations",60216,59124,58864,57616,56264,Management occupations
"Management, business, and financial operations occupations",65416,63804,62816,60892,60320,Management occupations
Management occupations,70252,67340,66820,64896,64324,Management occupations
Chief executives,106132,105196,107588,107120,102076,Management occupations
General and operations managers,65520,66352,71240,65728,61932,Management occupations
Advertising and promotions managers,54600,,79352,69368,60528,Management occupations
Marketing and sales managers,76024,73060,72228,72592,73216,Management occupations
Public relations and fundraising managers,80964,69888,60268,64324,76700,Management occupations
Administrative services managers,61932,60476,62296,57356,53092,Management occupations
Computer and information systems managers,89856,89960,89856,86944,82108,Management occupations
Financial managers,73216,68900,64272,60788,60632,Management occupations
Human resources managers,70980,71864,69004,66092,69212,Management occupations
Industrial production managers,77220,69212,69576,61516,62972,Management occupations
Purchasing managers,70096,69108,70616,68588,64584,Management occupations
"Transportation, storage, and distribution managers",50232,51532,52260,49556,45864,Management occupations
"Farmers, ranchers, and other agricultural managers",39988,42224,38012,36816,41600,Management occupations
Construction managers,69108,67808,66300,62816,65936,Management occupations
Education administrators,73996,66144,65468,65260,63856,Management occupations
Architectural and engineering managers,98748,101140,98488,110344,99528,Management occupations
Food service managers,38584,36608,36452,35828,34320,Management occupations
Lodging managers,51220,39728,46852,40248,45916,Management occupations
Medical and health services managers,62920,65832,65416,66560,65104,Management occupations
"Property, real estate, and community association managers",47528,47788,44824,47164,47892,Management occupations
Social and community service managers,53144,52416,54184,49244,54340,Management occupations
"Managers, all other",73216,68744,65728,65416,65780,Management occupations
Business and financial operations occupations,59124,57564,56732,55016,53976,Business and financial operations occupations
"Wholesale and retail buyers, except farm products",48152,44668,46748,44200,45864,Business and financial operations occupations
"Purchasing agents, except wholesale, retail, and farm products",52468,49140,51168,51324,52780,Business and financial operations occupations
"Claims adjusters, appraisers, examiners, and investigators",50076,51428,48412,47268,47476,Business and financial operations occupations
Compliance officers,62296,60164,58448,61516,58500,Business and financial operations occupations
Cost estimators,64064,55068,54600,60008,56160,Business and financial operations occupations
Human resources workers,52104,50024,51012,51688,48776,Business and financial operations occupations
"Compensation, benefits, and job analysis specialists",51896,53144,53716,49972,46436,Business and financial operations occupations
Training and development specialists,51480,56732,56108,51116,55068,Business and financial operations occupations
Logisticians,53456,49192,51636,52468,44928,Business and financial operations occupations
Management analysts,74412,76440,75400,75504,70460,Business and financial operations occupations
"Meeting, convention, and event planners",44668,51844,48360,42588,46228,Business and financial operations occupations
Fundraisers,59072,58344,58448,55016,55328,Business and financial operations occupations
Market research analysts and marketing specialists,66768,59020,59228,59696,60164,Business and financial operations occupations
"Business operations specialists, all other",56680,57096,54288,50440,51532,Business and financial operations occupations
Accountants and auditors,58864,55744,57668,57720,54912,Business and financial operations occupations
Appraisers and assessors of real estate,,52468,59384,,51480,Business and financial operations occupations
Budget analysts,,,72228,62764,61048,Business and financial operations occupations
Financial analysts,74152,74568,76232,77324,90324,Business and financial operations occupations
Personal financial advisors,73788,69524,74048,69004,64428,Business and financial operations occupations
Insurance underwriters,59748,59384,54340,49608,50440,Business and financial operations occupations
Credit counselors and loan officers,51844,51844,50440,48568,53248,Business and financial operations occupations
"Tax examiners and collectors, and revenue agents",54652,61516,49504,48724,47840,Business and financial operations occupations
Tax preparers,46384,47008,39884,,36452,Business and financial operations occupations
"Financial specialists, all other",60424,49348,50024,53300,47476,Business and financial operations occupations
Professional and related occupations,57824,56056,55692,54756,53508,Professional and related occupations
Computer and mathematical occupations,74256,71136,70980,70148,67860,Computer and mathematical occupations
Computer systems analysts,72228,72020,71084,73112,69056,Computer and mathematical occupations
Information security analysts,79976,73788,75920,82784,,Computer and mathematical occupations
Computer programmers,74776,73268,71344,68848,66404,Computer and mathematical occupations
"Software developers, applications and systems software",87464,88036,85436,82732,81016,Computer and mathematical occupations
Web developers,60580,58708,55120,56264,52884,Computer and mathematical occupations
Computer support specialists,56108,50232,50960,49920,47580,Computer and mathematical occupations
Database administrators,79872,78884,69940,71552,64376,Computer and mathematical occupations
Network and computer systems administrators,64584,65676,64324,61932,61360,Computer and mathematical occupations
Computer network architects,80704,84916,84760,80496,74932,Computer and mathematical occupations
"Computer occupations, all other",63804,56576,59748,57720,58604,Computer and mathematical occupations
Operations research analysts,74932,66352,75088,69368,66196,Computer and mathematical occupations
Statisticians,66300,70148,73528,,,Computer and mathematical occupations
Architecture and engineering occupations,74048,71604,70980,69524,68380,Architecture and engineering occupations
"Architects, except naval",74932,69108,67184,68900,68900,Architecture and engineering occupations
Aerospace engineers,86424,85384,96980,85540,84292,Architecture and engineering occupations
Chemical engineers,79664,76180,81536,78468,91364,Architecture and engineering occupations
Civil engineers,75920,71916,71396,71084,72696,Architecture and engineering occupations
Computer hardware engineers,97552,90688,78364,80496,79456,Architecture and engineering occupations
Electrical and electronics engineers,92456,81744,79144,80600,74984,Architecture and engineering occupations
"Industrial engineers, including health and safety",75244,73008,72020,72436,69472,Architecture and engineering occupations
Mechanical engineers,79768,74568,77792,74568,71448,Architecture and engineering occupations
"Engineers, all other",79404,76076,79456,74828,71032,Architecture and engineering occupations
Drafters,50804,50908,50648,50024,48932,Architecture and engineering occupations
"Engineering technicians, except drafters",50076,51428,52572,51428,49608,Architecture and engineering occupations
Surveying and mapping technicians,52624,45708,,46020,40404,Architecture and engineering occupations
"Life, physical, and social science occupations",62712,60736,59904,58968,57616,"Life, physical, and social science occupations"
Biological scientists,64116,59904,60164,61412,53612,"Life, physical, and social science occupations"
Medical scientists,65000,65884,63232,60476,57668,"Life, physical, and social science occupations"
Chemists and materials scientists,74464,65052,61464,60476,60788,"Life, physical, and social science occupations"
Environmental scientists and geoscientists,73996,70616,69160,65832,71916,"Life, physical, and social science occupations"
"Physical scientists, all other",80756,75244,78884,75712,71916,"Life, physical, and social science occupations"
Psychologists,71084,64064,65884,63856,63908,"Life, physical, and social science occupations"
Chemical technicians,49088,47320,44148,40508,40976,"Life, physical, and social science occupations"
"Miscellaneous life, physical, and social science technicians",43992,44252,39572,38740,39676,"Life, physical, and social science occupations"
Community and social service occupations,46228,44616,44044,43576,42276,Community and social service occupations
Counselors,47008,44148,46020,44096,43056,Community and social service occupations
Social workers,45604,43888,43940,44044,42484,Community and social service occupations
Probation officers and correctional treatment specialists,50284,51948,46176,49296,42744,Community and social service occupations
Social and human service assistants,35152,37232,34736,33124,31044,Community and social service occupations
"Miscellaneous community and social service specialists, including health educators and community health workers",43212,40196,39312,34684,35152,Community and social service occupations
Clergy,52104,49816,48620,46540,49140,Community and social service occupations
"Directors, religious activities and education",48308,,,,,Community and social service occupations
"Religious workers, all other",,,,,34008,Community and social service occupations
Legal occupations,72332,66092,65156,69056,66404,Legal occupations
Lawyers,98072,93964,97760,99268,92248,Legal occupations
"Judges, magistrates, and other judicial workers",101504,,,85124,86060,Legal occupations
Paralegals and legal assistants,48204,43212,43992,45344,42848,Legal occupations
Miscellaneous legal support workers,40040,45240,45396,42380,42380,Legal occupations
"Education, training, and library occupations",49712,49556,48724,47580,47788,"Education, training, and library occupations"
Postsecondary teachers,65416,65312,60944,63232,62868,"Education, training, and library occupations"
Preschool and kindergarten teachers,32032,32968,33176,30628,31512,"Education, training, and library occupations"
Elementary and middle school teachers,50648,50960,49608,48984,49244,"Education, training, and library occupations"
Secondary school teachers,55432,53924,53612,52468,52780,"Education, training, and library occupations"
Special education teachers,51324,52052,49452,49088,48828,"Education, training, and library occupations"
Other teachers and instructors,46592,43992,47060,40820,44616,"Education, training, and library occupations"
Librarians,51532,46228,47788,50232,44200,"Education, training, and library occupations"
Teacher assistants,28132,25896,24908,23816,24960,"Education, training, and library occupations"
"Other education, training, and library workers",52052,49712,53612,52572,51064,"Education, training, and library occupations"
"Arts, design, entertainment, sports, and media occupations",52052,49712,51376,50388,48308,"Arts, design, entertainment, sports, and media occupations"
Artists and related workers,60632,60632,53664,58812,57980,"Arts, design, entertainment, sports, and media occupations"
Designers,51636,47892,49972,49556,49400,"Arts, design, entertainment, sports, and media occupations"
Producers and directors,66040,61984,60632,54496,53196,"Arts, design, entertainment, sports, and media occupations"
"Athletes, coaches, umpires, and related workers",40560,45292,46228,49816,42900,"Arts, design, entertainment, sports, and media occupations"
"News analysts, reporters and correspondents",63336,41704,54132,53092,48724,"Arts, design, entertainment, sports, and media occupations"
Public relations specialists,62972,51064,58708,58604,49608,"Arts, design, entertainment, sports, and media occupations"
Editors,59696,52936,56784,49192,46904,"Arts, design, entertainment, sports, and media occupations"
Technical writers,60216,67444,70928,63804,,"Arts, design, entertainment, sports, and media occupations"
Writers and authors,64064,52832,51792,46748,47736,"Arts, design, entertainment, sports, and media occupations"
Broadcast and sound engineering technicians and radio operators,49608,49296,49244,45500,44564,"Arts, design, entertainment, sports, and media occupations"
Photographers,,48776,,,,"Arts, design, entertainment, sports, and media occupations"
Healthcare practitioners and technical occupations,54132,53716,54496,53456,51740,Healthcare practitioners and technical occupations
Dentists,86112,99216,79716,,,Healthcare practitioners and technical occupations
Dietitians and nutritionists,46072,47788,46020,43680,46644,Healthcare practitioners and technical occupations
Pharmacists,99840,103740,101920,97604,99684,Healthcare practitioners and technical occupations
Physicians and surgeons,94848,86372,98020,98124,96720,Healthcare practitioners and technical occupations
Physician assistants,71136,84188,75712,69108,63440,Healthcare practitioners and technical occupations
Occupational therapists,62920,59592,67340,61828,61828,Healthcare practitioners and technical occupations
Physical therapists,65780,72124,71864,66924,68744,Healthcare practitioners and technical occupations
Respiratory therapists,52000,53924,56940,50908,51844,Healthcare practitioners and technical occupations
Speech-language pathologists,59644,56472,63336,58656,55900,Healthcare practitioners and technical occupations
"Therapists, all other",49088,47216,44928,48152,46020,Healthcare practitioners and technical occupations
Veterinarians,75660,,,,,Healthcare practitioners and technical occupations
Registered nurses,58032,56680,57148,57044,54028,Healthcare practitioners and technical occupations
Nurse practitioners,79664,87516,83980,83720,75972,Healthcare practitioners and technical occupations
Clinical laboratory technologists and technicians,46852,42848,46332,45188,44772,Healthcare practitioners and technical occupations
Dental hygienists,47528,49764,52260,54340,51272,Healthcare practitioners and technical occupations
Diagnostic related technologists and technicians,50128,51532,47788,49972,51012,Healthcare practitioners and technical occupations
Emergency medical technicians and paramedics,42172,39208,41392,40560,37180,Healthcare practitioners and technical occupations
Health practitioner support technologists and technicians,33072,32136,32188,31980,33488,Healthcare practitioners and technical occupations
Licensed practical and licensed vocational nurses,38636,39052,38532,38012,37544,Healthcare practitioners and technical occupations
Medical records and health information technicians,38480,41080,31824,32136,30576,Healthcare practitioners and technical occupations
Miscellaneous health technologists and technicians,34892,42640,44148,40144,38688,Healthcare practitioners and technical occupations
Other healthcare practitioners and technical occupations,58656,52000,55380,46800,45240,Healthcare practitioners and technical occupations
Service occupations,26468,26260,25636,25220,25272,Service occupations
Healthcare support occupations,25896,25896,25532,25064,25324,Healthcare support occupations
"Nursing, psychiatric, and home health aides",24284,24544,23764,23452,23556,Healthcare support occupations
Physical therapist assistants and aides,38584,36036,,,34580,Healthcare support occupations
Dental assistants,27612,27820,29692,30108,30108,Healthcare support occupations
Medical assistants,28028,28392,27612,26728,27144,Healthcare support occupations
Phlebotomists,28652,27716,30316,27040,27092,Healthcare support occupations
"Miscellaneous healthcare support occupations, including medical equipment preparers",27248,26468,24024,25324,25324,Healthcare support occupations
Protective service occupations,41392,43316,40716,41132,39364,Protective service occupations
First-line supervisors of correctional officers,44512,,,42640,,Protective service occupations
First-line supervisors of police and detectives,74204,58604,59228,63232,56316,Protective service occupations
First-line supervisors of fire fighting and prevention workers,,74776,56264,66092,,Protective service occupations
"First-line supervisors of protective service workers, all other",42016,47476,40820,45812,37232,Protective service occupations
Firefighters,53716,59176,51792,55536,52000,Protective service occupations
Fire inspectors,,,,,,Protective service occupations
"Bailiffs, correctional officers, and jailers",39208,37960,35516,37544,35464,Protective service occupations
Detectives and criminal investigators,60268,60996,54808,55224,60008,Protective service occupations
Fish and game wardens,,,,,,Protective service occupations
Parking enforcement workers,,,,,,Protective service occupations
Police and sheriff's patrol officers,52104,52936,52364,50908,49244,Protective service occupations
Transit and railroad police,,,,,,Protective service occupations
Animal control workers,,,,,,Protective service occupations
Private detectives and investigators,43836,53300,49296,44096,45188,Protective service occupations
Security guards and gaming surveillance officers,29484,29588,27664,27456,26988,Protective service occupations
Food preparation and serving related occupations,22932,22828,21632,21320,21268,Food preparation and serving related occupations
Chefs and head cooks,32188,30680,29848,29224,30160,Food preparation and serving related occupations
First-line supervisors of food preparation and serving workers,25896,26832,25532,25532,25220,Food preparation and serving related occupations
Cooks,21632,21476,20904,20228,20280,Food preparation and serving related occupations
Food preparation workers,20904,21112,20124,19916,19968,Food preparation and serving related occupations
Bartenders,27092,27144,26676,23920,28340,Food preparation and serving related occupations
"Combined food preparation and serving workers, including fast food",20332,19708,19968,19864,20124,Food preparation and serving related occupations
"Counter attendants, cafeteria, food concession, and coffee shop",18408,18148,16640,18200,16796,Food preparation and serving related occupations
Waiters and waitresses,23452,22672,21476,21372,21164,Food preparation and serving related occupations
"Food servers, nonrestaurant",26468,26104,23816,23712,21788,Food preparation and serving related occupations
Dining room and cafeteria attendants and bartender helpers,20956,23452,21424,19240,19916,Food preparation and serving related occupations
Dishwashers,20696,19136,18512,17940,17264,Food preparation and serving related occupations
"Hosts and hostesses, restaurant, lounge, and coffee shop",20800,22516,20436,20332,19188,Food preparation and serving related occupations
Building and grounds cleaning and maintenance occupations,25272,24960,24700,24180,24180,Building and grounds cleaning and maintenance occupations
First-line supervisors of housekeeping and janitorial workers,32240,30992,33176,29588,33592,Building and grounds cleaning and maintenance occupations
